Sr.No.,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,y
1,35,services,married,secondary,no,142,yes,no,cellular,20,nov,315,2,no
2,43,admin.,married,secondary,no,388,yes,no,cellular,19,nov,111,2,no
3,49,admin.,married,secondary,no,381,no,no,cellular,5,aug,504,2,no
4,42,admin.,divorced,secondary,no,2397,yes,no,cellular,15,apr,239,2,no
5,37,technician,married,secondary,no,1063,yes,no,cellular,31,jul,413,2,no
6,53,technician,married,secondary,no,4541,yes,no,unknown,15,may,190,6,no
7,37,management,single,tertiary,no,493,yes,no,unknown,9,may,328,7,no
8,36,management,married,tertiary,no,753,no,no,cellular,26,may,71,5,no
9,46,self-employed,married,primary,no,3155,yes,no,cellular,21,nov,271,1,no
10,49,blue-collar,married,secondary,no,1838,yes,no,cellular,8,jul,203,1,no
11,36,technician,married,secondary,no,-342,yes,no,cellular,28,jul,170,3,no
12,31,blue-collar,single,secondary,no,530,no,yes,cellular,18,nov,251,2,no
13,37,management,single,tertiary,no,340,no,no,cellular,11,aug,90,4,no
14,51,blue-collar,married,primary,no,97,no,no,cellular,13,aug,286,2,no
15,38,housemaid,married,tertiary,no,1437,yes,no,telephone,21,jul,100,11,no
16,45,unknown,married,secondary,no,2119,no,no,cellular,19,aug,120,15,no
17,49,self-employed,married,tertiary,no,206,yes,no,unknown,23,jul,108,2,no
18,38,blue-collar,married,primary,no,2569,no,no,unknown,9,jun,172,1,no
19,29,blue-collar,married,secondary,no,64,yes,yes,cellular,14,jul,611,2,no
20,34,technician,divorced,secondary,no,347,no,no,cellular,29,aug,15,14,no
21,38,admin.,married,secondary,no,4196,yes,no,cellular,12,may,193,2,no
22,41,management,married,primary,no,243,yes,no,cellular,2,feb,199,1,no
23,46,management,divorced,tertiary,no,1297,no,no,cellular,11,aug,716,3,yes
24,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,no
25,33,management,divorced,tertiary,no,312,yes,yes,cellular,13,may,23,1,no
26,28,admin.,single,secondary,no,-7,no,yes,unknown,26,jun,3183,2,yes
27,38,technician,married,secondary,no,-6,no,no,cellular,26,aug,700,2,no
28,49,management,married,primary,no,1330,no,yes,unknown,18,jun,37,1,no
29,45,unemployed,divorced,secondary,no,5163,no,no,unknown,20,jun,9,2,no
30,41,management,married,secondary,yes,-771,no,yes,unknown,20,jun,343,2,no
31,43,technician,married,secondary,no,764,yes,no,cellular,14,jul,557,5,no
32,45,management,married,tertiary,no,668,no,yes,cellular,17,jul,391,2,no
33,32,technician,married,secondary,no,14,no,no,cellular,22,aug,313,6,no
34,40,technician,married,secondary,no,581,yes,no,cellular,8,aug,258,2,no
35,29,technician,married,secondary,no,23,yes,no,cellular,8,apr,101,2,no
36,35,management,married,tertiary,no,358,no,no,unknown,27,jun,18,1,no
37,32,technician,single,secondary,no,337,yes,no,cellular,29,jan,213,2,no
38,49,admin.,married,secondary,no,2732,no,no,unknown,12,jun,558,1,no
39,36,blue-collar,divorced,secondary,no,1237,yes,no,unknown,20,jun,310,2,no
40,38,technician,single,tertiary,no,-572,yes,yes,unknown,5,jun,26,24,no
41,54,blue-collar,married,secondary,no,0,no,yes,cellular,16,jul,156,1,no
42,34,services,married,secondary,no,81,yes,yes,cellular,9,jul,90,1,no
43,27,technician,single,secondary,no,-211,yes,no,cellular,7,may,146,1,no
44,40,management,divorced,unknown,no,4095,yes,no,cellular,20,apr,281,1,no
45,31,technician,single,secondary,no,826,yes,no,cellular,12,aug,246,2,no
46,37,admin.,married,secondary,no,1967,no,no,telephone,27,oct,376,1,yes
47,37,blue-collar,single,secondary,no,134,yes,no,unknown,8,may,200,1,no
48,41,admin.,divorced,secondary,no,6046,yes,yes,telephone,14,sep,185,2,yes
49,32,admin.,married,secondary,no,0,yes,yes,cellular,17,nov,159,2,no
50,35,management,single,tertiary,no,9336,yes,no,cellular,18,may,311,2,no
51,38,blue-collar,married,secondary,no,-579,yes,yes,unknown,28,may,195,2,no
52,33,management,single,tertiary,no,935,no,no,cellular,9,feb,385,2,yes
53,48,admin.,married,secondary,no,933,no,no,cellular,29,jul,446,2,no
54,46,management,married,secondary,no,430,yes,no,cellular,18,nov,91,1,no
55,54,blue-collar,married,secondary,no,0,no,no,telephone,16,apr,1366,1,no
56,36,management,divorced,tertiary,no,649,no,no,cellular,16,jul,237,2,no
57,54,technician,married,secondary,no,369,no,no,cellular,4,aug,226,1,no
58,35,blue-collar,single,secondary,no,219,yes,yes,unknown,29,may,161,1,no
59,53,retired,married,primary,no,2010,no,yes,unknown,6,jun,182,1,no
60,31,admin.,divorced,secondary,no,11,yes,no,cellular,18,may,17,7,no
61,36,entrepreneur,married,tertiary,no,1423,yes,no,unknown,29,may,193,1,no
62,53,housemaid,married,primary,no,3166,no,no,unknown,20,jun,14,12,no
63,57,management,married,tertiary,no,813,no,no,cellular,27,apr,91,3,no
64,44,management,married,tertiary,no,-1636,yes,yes,cellular,11,may,257,1,no
65,27,blue-collar,married,secondary,no,-132,yes,no,unknown,4,jun,216,1,no
66,39,entrepreneur,married,tertiary,no,2,yes,no,cellular,17,nov,180,1,no
67,55,management,divorced,tertiary,no,271,yes,no,cellular,9,apr,191,4,no
68,52,management,married,secondary,no,0,no,no,cellular,30,jul,249,3,no
69,45,technician,married,tertiary,no,-525,no,yes,cellular,21,nov,980,2,yes
70,33,admin.,married,secondary,no,6,yes,no,cellular,20,apr,386,1,no
71,39,services,married,secondary,no,150,no,no,unknown,12,jun,243,2,no
72,55,retired,married,primary,no,1821,no,no,cellular,8,aug,224,2,no
73,36,technician,divorced,secondary,no,515,yes,yes,cellular,8,may,104,4,no
74,32,management,married,tertiary,no,1636,yes,no,cellular,18,nov,124,1,no
75,40,blue-collar,married,secondary,no,598,yes,no,cellular,31,jul,90,5,no
76,33,services,married,secondary,no,703,no,no,cellular,18,nov,160,2,no
77,28,management,single,tertiary,no,874,yes,no,cellular,5,jun,509,1,yes
78,32,management,married,tertiary,no,1297,yes,no,cellular,15,may,250,1,no
79,51,technician,married,tertiary,no,4455,no,no,telephone,14,aug,85,4,no
80,34,technician,married,secondary,no,134,yes,no,cellular,6,may,159,1,no
81,57,services,married,secondary,no,315,no,no,cellular,18,nov,127,4,no
82,30,technician,married,tertiary,no,1338,yes,yes,cellular,10,jul,81,6,no
83,53,retired,married,secondary,no,1296,yes,no,unknown,17,jun,115,1,no
84,40,blue-collar,married,primary,no,2502,yes,no,cellular,18,may,205,1,no
85,32,management,single,tertiary,no,406,no,no,unknown,29,may,35,24,no
86,31,technician,married,secondary,no,4941,yes,no,unknown,23,may,504,1,no
87,34,self-employed,single,tertiary,no,693,yes,no,cellular,24,jul,130,1,no
88,59,blue-collar,married,primary,no,6271,yes,no,cellular,25,aug,102,5,no
89,32,technician,married,tertiary,no,1129,yes,no,unknown,23,may,189,1,no
90,31,management,married,tertiary,no,8279,no,no,cellular,6,aug,533,2,no
91,58,retired,married,tertiary,no,2199,no,no,telephone,21,oct,65,1,no
92,58,retired,married,secondary,no,1067,no,no,telephone,10,jul,445,1,no
93,34,admin.,married,secondary,no,5320,no,no,cellular,3,mar,114,6,no
94,37,services,married,secondary,no,1483,no,no,unknown,20,jun,32,9,no
95,58,retired,married,primary,no,928,no,no,cellular,26,may,304,1,no
96,45,admin.,married,unknown,no,323,no,no,telephone,4,feb,56,4,no
97,27,admin.,divorced,secondary,no,112,yes,no,unknown,19,may,104,1,no
98,28,services,single,secondary,no,1820,yes,no,cellular,5,feb,134,2,no
99,39,entrepreneur,married,tertiary,no,2644,yes,no,unknown,20,may,253,1,no
100,31,technician,single,tertiary,no,221,yes,no,unknown,19,may,145,3,no
101,60,retired,married,primary,no,6307,yes,no,unknown,11,jun,362,1,no
102,32,services,married,secondary,no,1398,yes,yes,cellular,15,may,233,1,no
103,33,management,single,tertiary,no,576,no,no,cellular,25,may,220,1,no
104,48,technician,married,unknown,no,5176,no,no,cellular,29,jul,162,2,no
105,53,entrepreneur,single,unknown,no,717,no,no,cellular,30,jul,594,2,no
106,58,retired,married,secondary,no,166,no,yes,unknown,3,jul,211,1,no
107,79,retired,married,primary,no,3025,no,no,telephone,11,mar,184,1,no
108,33,management,single,tertiary,no,6807,no,no,cellular,20,apr,163,1,yes
109,31,management,single,tertiary,no,617,no,no,cellular,4,jun,1161,1,yes
110,54,blue-collar,married,primary,no,3170,yes,no,telephone,16,apr,140,2,no
111,52,blue-collar,married,secondary,no,555,yes,no,cellular,12,may,314,2,no
112,78,retired,divorced,secondary,no,3417,no,no,cellular,12,may,309,1,yes
113,82,retired,divorced,primary,no,0,no,no,telephone,15,mar,506,2,yes
114,40,admin.,single,secondary,no,-109,yes,yes,unknown,6,may,170,1,no
115,37,blue-collar,married,primary,no,4997,no,no,unknown,9,jun,172,2,no
116,48,housemaid,married,secondary,no,4,no,no,cellular,18,aug,68,4,no
117,46,technician,single,secondary,no,1758,yes,no,cellular,18,nov,109,1,no
118,37,blue-collar,married,primary,no,250,yes,no,cellular,20,apr,239,3,no
119,31,services,married,secondary,no,-641,yes,yes,unknown,27,may,296,2,no
120,34,management,married,secondary,no,42,no,no,cellular,22,aug,82,3,no
121,32,admin.,married,secondary,no,1078,yes,no,cellular,16,apr,177,1,no
122,31,management,married,secondary,no,2019,no,no,unknown,7,may,380,2,no
123,39,blue-collar,married,primary,no,640,yes,no,cellular,13,may,220,4,no
124,32,self-employed,married,tertiary,no,322,yes,no,cellular,4,feb,192,2,no
125,27,admin.,married,secondary,no,1596,no,no,cellular,1,sep,82,1,yes
126,27,entrepreneur,single,tertiary,no,81,no,no,cellular,5,feb,197,1,no
127,42,technician,single,secondary,no,746,no,no,cellular,30,jul,86,2,no
128,38,services,married,secondary,no,208,yes,no,unknown,7,may,800,1,no
129,50,admin.,married,tertiary,no,0,no,no,telephone,29,aug,253,2,no
130,31,blue-collar,single,secondary,no,16,no,no,cellular,7,jul,387,1,no
131,59,retired,divorced,secondary,no,319,no,no,cellular,24,jul,129,1,no
132,33,entrepreneur,single,tertiary,no,1623,yes,no,cellular,2,sep,291,3,yes
133,35,entrepreneur,married,secondary,no,1163,yes,no,unknown,20,may,284,1,no
134,39,blue-collar,single,primary,no,554,no,no,telephone,31,jul,22,5,no
135,40,services,married,secondary,no,-342,yes,no,unknown,26,may,754,1,no
136,38,management,married,tertiary,no,1477,no,no,cellular,15,sep,385,3,yes
137,36,management,single,tertiary,no,0,yes,no,cellular,16,jul,155,2,no
138,31,management,married,tertiary,no,804,no,no,cellular,28,jan,146,1,no
139,41,technician,single,secondary,no,214,no,no,cellular,11,aug,228,2,no
140,31,blue-collar,married,tertiary,no,982,yes,yes,cellular,2,mar,142,2,no
141,48,blue-collar,married,secondary,no,742,yes,yes,cellular,14,jul,304,4,no
142,29,technician,married,tertiary,no,1489,yes,no,unknown,28,may,430,1,no
143,29,admin.,divorced,tertiary,yes,0,no,yes,cellular,9,jul,426,3,yes
144,40,services,married,secondary,no,-192,yes,no,cellular,11,may,666,1,yes
145,46,blue-collar,married,primary,no,9083,yes,no,cellular,8,may,389,1,no
146,44,technician,divorced,secondary,no,268,no,no,unknown,17,jun,108,6,no
147,35,blue-collar,single,secondary,no,275,yes,no,unknown,20,may,243,2,no
148,46,admin.,married,secondary,no,44,no,no,cellular,6,aug,175,2,no
149,37,technician,married,secondary,no,1458,no,no,cellular,22,mar,344,1,no
150,56,admin.,married,unknown,no,2038,no,no,cellular,8,feb,405,1,no
151,55,management,married,secondary,no,566,yes,no,cellular,17,apr,107,1,no
152,34,technician,married,secondary,no,456,yes,no,unknown,23,may,621,1,no
153,48,blue-collar,married,secondary,no,904,yes,no,unknown,5,may,128,2,no
154,39,admin.,divorced,secondary,no,2903,yes,yes,telephone,25,jul,259,2,no
155,60,housemaid,married,unknown,no,10285,no,no,unknown,6,jun,174,2,no
156,40,blue-collar,married,primary,no,1411,yes,no,cellular,12,may,224,2,no
157,34,services,married,secondary,no,2048,yes,no,cellular,19,nov,307,2,no
158,30,blue-collar,married,secondary,no,3653,yes,yes,unknown,6,jun,167,4,no
159,47,admin.,married,secondary,no,1060,yes,no,unknown,6,jun,83,3,no
160,41,technician,single,tertiary,no,6029,yes,no,unknown,14,may,254,2,no
161,32,services,married,secondary,no,-509,yes,no,cellular,30,jan,134,1,no
162,44,technician,married,tertiary,no,-948,yes,yes,cellular,9,jul,129,2,no
163,37,management,married,secondary,no,-499,yes,no,cellular,21,nov,71,3,no
164,57,services,married,secondary,no,1315,no,no,cellular,14,aug,260,2,no
165,29,unemployed,single,tertiary,no,0,yes,yes,unknown,16,may,703,4,no
166,53,unknown,married,primary,no,732,no,no,cellular,27,oct,759,2,yes
167,37,admin.,single,tertiary,no,1000,yes,no,cellular,17,mar,195,1,yes
168,47,blue-collar,married,secondary,no,2775,no,no,unknown,14,may,262,1,no
169,67,housemaid,divorced,secondary,no,5275,no,no,cellular,13,aug,222,4,yes
170,50,blue-collar,married,primary,no,231,yes,no,unknown,16,may,171,4,no
171,29,entrepreneur,single,tertiary,no,11,yes,no,unknown,12,may,214,4,no
172,45,entrepreneur,divorced,secondary,no,44,no,yes,cellular,30,jan,250,2,no
173,50,blue-collar,married,secondary,no,2320,yes,no,cellular,7,apr,310,1,no
174,43,admin.,single,secondary,no,985,yes,yes,unknown,20,jun,51,19,no
175,31,management,single,tertiary,no,1130,yes,no,cellular,2,feb,181,1,no
176,58,blue-collar,married,secondary,no,3027,yes,no,cellular,27,oct,120,1,no
177,33,blue-collar,divorced,secondary,no,60,no,no,unknown,6,may,190,3,no
178,28,management,single,tertiary,no,416,yes,yes,cellular,17,jul,345,1,no
179,59,retired,married,tertiary,no,1296,no,no,cellular,11,aug,862,11,no
180,60,retired,married,secondary,no,523,no,no,cellular,11,feb,467,1,yes
181,37,technician,married,secondary,no,-796,yes,yes,unknown,26,may,299,1,no
182,32,housemaid,married,secondary,no,216,no,yes,cellular,9,jul,71,6,no
183,36,blue-collar,married,primary,no,95,yes,no,unknown,9,may,255,2,no
184,45,admin.,married,secondary,no,1435,yes,no,cellular,30,apr,257,1,no
185,51,blue-collar,married,secondary,no,1840,yes,no,cellular,18,aug,312,3,no
186,38,technician,single,secondary,no,2990,yes,no,unknown,2,jun,612,2,no
187,25,management,single,tertiary,no,710,no,no,unknown,9,jul,119,1,no
188,29,technician,married,secondary,no,1599,yes,no,cellular,1,feb,200,2,no
189,33,blue-collar,married,secondary,yes,-266,yes,yes,cellular,3,feb,16,7,no
190,80,retired,married,primary,no,155,no,no,telephone,4,may,209,1,yes
191,25,admin.,single,secondary,no,61,yes,no,unknown,9,may,345,9,no
192,51,blue-collar,divorced,secondary,no,1069,yes,no,unknown,30,may,247,2,no
193,37,management,single,tertiary,no,24,no,no,cellular,15,jul,280,5,no
194,42,blue-collar,married,primary,no,1532,yes,no,cellular,23,jul,98,3,no
195,28,services,married,secondary,no,15,yes,no,cellular,7,may,182,2,no
196,57,unemployed,married,secondary,no,4588,no,no,cellular,5,feb,485,3,no
197,60,unknown,married,tertiary,no,2450,no,no,unknown,9,jul,297,5,no
198,49,services,married,secondary,no,1314,no,no,cellular,14,aug,834,14,yes
199,49,technician,married,secondary,no,4785,no,no,unknown,12,may,160,4,no
200,28,blue-collar,married,secondary,no,2788,yes,no,unknown,6,jun,369,2,yes
201,50,management,married,tertiary,no,4374,yes,no,cellular,21,nov,163,2,no
202,45,technician,married,tertiary,no,1780,no,no,cellular,11,aug,52,4,no
203,36,management,married,tertiary,no,495,no,no,cellular,5,aug,157,3,yes
204,31,services,single,secondary,no,2038,yes,no,cellular,18,nov,239,1,no
205,27,management,single,tertiary,no,831,yes,no,cellular,21,jul,369,1,no
206,50,management,married,tertiary,no,258,no,no,cellular,12,aug,246,6,no
207,55,management,divorced,tertiary,no,407,yes,yes,cellular,25,aug,65,8,no
208,42,management,single,tertiary,no,1768,yes,no,unknown,8,may,193,2,no
209,39,admin.,married,secondary,no,224,no,no,unknown,18,jun,421,2,no
210,28,management,single,tertiary,no,266,no,no,cellular,8,feb,108,1,no
211,49,management,single,tertiary,no,1350,yes,yes,cellular,11,may,716,1,no
212,50,management,married,tertiary,no,5108,yes,no,cellular,5,apr,874,2,no
213,29,student,married,unknown,no,2229,no,no,unknown,9,jul,25,1,no
214,56,management,divorced,tertiary,no,442,no,no,unknown,28,may,77,3,no
215,35,technician,married,secondary,no,0,yes,no,cellular,6,apr,139,1,no
216,47,management,married,tertiary,no,5049,no,no,cellular,22,aug,47,7,no
217,32,management,married,tertiary,no,2431,yes,no,cellular,14,may,646,5,yes
218,43,technician,divorced,secondary,no,64,yes,no,cellular,14,aug,55,2,no
219,35,management,married,secondary,no,97,yes,no,unknown,29,may,135,4,no
220,51,housemaid,divorced,secondary,no,330,no,no,telephone,21,nov,218,3,no
221,39,technician,married,secondary,no,834,yes,yes,cellular,20,apr,390,1,no
222,34,technician,divorced,tertiary,no,674,yes,no,cellular,7,aug,587,2,yes
223,50,blue-collar,married,primary,no,5131,yes,no,unknown,15,may,114,2,no
224,56,blue-collar,married,secondary,no,1686,no,no,telephone,17,apr,100,2,no
225,47,admin.,married,secondary,no,6695,no,no,telephone,21,nov,129,3,no
226,30,entrepreneur,married,tertiary,no,3037,yes,no,cellular,15,may,10,5,no
227,31,blue-collar,single,primary,no,2369,yes,yes,cellular,20,nov,470,2,no
228,32,technician,married,tertiary,no,1352,no,no,cellular,20,nov,221,3,no
229,30,admin.,single,secondary,no,732,yes,no,cellular,28,jan,445,1,no
230,32,services,single,secondary,no,772,yes,no,unknown,15,may,697,3,yes
231,46,technician,married,secondary,no,2149,yes,no,cellular,15,apr,282,2,yes
232,32,technician,married,secondary,no,94,yes,no,cellular,17,apr,1013,2,no
233,40,admin.,single,tertiary,no,1248,no,no,unknown,11,jun,1290,2,yes
234,39,blue-collar,married,primary,no,1005,no,no,unknown,6,jun,158,2,no
235,24,blue-collar,single,primary,no,145,yes,no,cellular,15,may,520,1,no
236,31,entrepreneur,single,unknown,no,301,yes,no,cellular,4,feb,371,1,no
237,32,blue-collar,married,secondary,no,7107,yes,no,cellular,17,apr,882,2,no
238,52,services,divorced,secondary,no,0,no,no,cellular,31,jul,530,3,no
239,53,technician,married,secondary,no,65,no,no,cellular,25,nov,99,1,no
240,40,admin.,single,secondary,no,956,yes,no,cellular,29,jan,83,1,no
241,31,technician,married,secondary,no,367,yes,no,cellular,8,aug,515,3,no
242,36,blue-collar,married,secondary,yes,-347,yes,yes,unknown,28,may,109,3,no
243,43,admin.,married,secondary,no,1375,yes,no,cellular,18,nov,95,1,no
244,34,self-employed,single,tertiary,no,6,no,no,cellular,20,nov,501,2,no
245,38,admin.,married,secondary,no,257,yes,no,cellular,15,may,10,5,no
246,38,admin.,married,secondary,no,338,no,yes,cellular,8,jul,191,1,no
247,39,admin.,single,secondary,no,548,yes,no,unknown,3,jun,296,2,no
248,75,retired,divorced,primary,no,37127,no,no,cellular,11,feb,505,1,no
249,39,services,married,secondary,no,52,no,no,telephone,2,feb,1420,3,yes
250,39,management,married,tertiary,no,1598,yes,yes,unknown,27,may,87,3,no
251,34,admin.,single,tertiary,no,458,yes,no,unknown,20,may,211,1,no
252,49,management,married,tertiary,no,176,yes,yes,cellular,14,jul,102,2,no
253,45,entrepreneur,married,tertiary,no,1752,yes,yes,cellular,20,nov,56,2,no
254,32,admin.,single,tertiary,no,298,no,no,cellular,8,aug,494,1,no
255,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,no
256,40,services,married,secondary,no,683,yes,no,cellular,2,feb,299,2,no
257,31,technician,married,tertiary,no,-502,yes,yes,unknown,26,may,523,2,no
258,47,unknown,married,unknown,no,677,no,no,cellular,7,aug,384,1,no
259,28,management,single,tertiary,no,1584,yes,no,cellular,1,sep,222,2,yes
260,30,services,single,secondary,no,1510,yes,no,cellular,18,nov,191,1,no
261,51,admin.,divorced,secondary,no,74,yes,no,cellular,8,may,74,2,no
262,31,admin.,single,secondary,no,622,no,no,cellular,18,jul,420,1,yes
263,36,blue-collar,divorced,secondary,no,313,yes,yes,cellular,17,apr,264,2,no
264,52,housemaid,married,primary,no,5137,no,no,unknown,9,jun,199,1,no
265,51,housemaid,married,primary,no,1093,no,yes,unknown,18,jun,18,1,no
266,60,management,divorced,secondary,no,0,yes,no,telephone,13,may,65,4,no
267,50,retired,married,secondary,no,1047,no,no,cellular,21,nov,98,5,no
268,26,entrepreneur,married,secondary,no,-306,no,yes,cellular,8,jul,342,1,no
